rank,bits,int,k_selected,stations,energy,objective,penalty,feasible
207,11011010,218,5,Z1|Z3|Z4|Z6|Z7,-67.380085,17.380085,40.0,False
208,10111010,186,5,Z1|Z3|Z4|Z5|Z7,-67.266611,17.266611,40.0,False
209,11110100,244,5,Z2|Z4|Z5|Z6|Z7,-65.213975,15.213975,40.0,False
210,11111000,248,5,Z3|Z4|Z5|Z6|Z7,-64.418035,14.418035,40.0,False
211,11110010,242,5,Z1|Z4|Z5|Z6|Z7,-64.224805,14.224805,40.0,False
212,01101111,111,6,Z0|Z1|Z2|Z3|Z5|Z6,-59.741036,59.741036,90.0,False
213,11001111,207,6,Z0|Z1|Z2|Z3|Z6|Z7,-59.584839,59.584839,90.0,False
214,10101111,175,6,Z0|Z1|Z2|Z3|Z5|Z7,-59.471365,59.471365,90.0,False
215,01011111,95,6,Z0|Z1|Z2|Z3|Z4|Z6,-59.433074,59.433074,90.0,False
216,00111111,63,6,Z0|Z1|Z2|Z3|Z4|Z5,-59.3196,59.3196,90.0,False
217,10011111,159,6,Z0|Z1|Z2|Z3|Z4|Z7,-59.163403,59.163403,90.0,False
218,11101101,237,6,Z0|Z2|Z3|Z5|Z6|Z7,-56.622789,56.622789,90.0,False
219,01111101,125,6,Z0|Z2|Z3|Z4|Z5|Z6,-56.471024,56.471024,90.0,False
220,11100111,231,6,Z0|Z1|Z2|Z5|Z6|Z7,-56.429559,56.429559,90.0,False
221,11011101,221,6,Z0|Z2|Z3|Z4|Z6|Z7,-56.314827,56.314827,90.0,False
222,01110111,119,6,Z0|Z1|Z2|Z4|Z5|Z6,-56.277794,56.277794,90.0,False
223,00000100,4,1,Z2,-56.273908,6.273908,40.0,False
224,10111101,189,6,Z0|Z2|Z3|Z4|Z5|Z7,-56.201353,56.201353,90.0,False
225,11010111,215,6,Z0|Z1|Z2|Z4|Z6|Z7,-56.121597,56.121597,90.0,False
226,10110111,183,6,Z0|Z1|Z2|Z4|Z5|Z7,-56.008123,56.008123,90.0,False
227,11101011,235,6,Z0|Z1|Z3|Z5|Z6|Z7,-55.633619,55.633619,90.0,False
